PostId,PostTypeId,EventId,Event,UserId,CreationDate
32794732,1,100490503,InitialBody,5378691,"2015-09-26 07:27:09"
32794732,1,100490504,InitialTitle,5378691,"2015-09-26 07:27:09"
32794732,1,100490901,BodyEdit,692410,"2015-09-26 07:40:19"
32794845,2,100490949,InitialBody,1283348,"2015-09-26 07:41:38"
32794874,2,100491071,InitialBody,584420,"2015-09-26 07:46:30"
32794845,2,53427978,Comment,5378691,"2015-09-26 07:49:20"
32794845,2,53428000,Comment,1283348,"2015-09-26 07:51:41"
32794874,2,53428038,Comment,5378691,"2015-09-26 07:54:17"
32794845,2,53428087,Comment,5378691,"2015-09-26 07:57:40"
32794845,2,53428141,Comment,1283348,"2015-09-26 08:01:30"
32794874,2,53428160,Comment,584420,"2015-09-26 08:02:58"
32794874,2,53428446,Comment,5378691,"2015-09-26 08:25:20"
32794845,2,53428466,Comment,5378691,"2015-09-26 08:26:47"
32794845,2,53428521,Comment,1283348,"2015-09-26 08:30:42"
32794874,2,53428529,Comment,584420,"2015-09-26 08:31:29"
32794874,2,100500839,BodyEdit,584420,"2015-09-26 08:33:38"
32794845,2,53428581,Comment,5378691,"2015-09-26 08:35:11"
32794874,2,53428596,Comment,5378691,"2015-09-26 08:36:20"
32794845,2,53428608,Comment,1283348,"2015-09-26 08:37:25"
32794845,2,53428618,Comment,5378691,"2015-09-26 08:38:29"
32794874,2,53428622,Comment,584420,"2015-09-26 08:38:38"
32794874,2,53428669,Comment,5378691,"2015-09-26 08:43:21"
32794874,2,53428708,Comment,584420,"2015-09-26 08:46:03"
32794845,2,53428762,Comment,1283348,"2015-09-26 08:48:53"
32794874,2,53428932,Comment,5378691,"2015-09-26 09:00:19"
32794874,2,53429038,Comment,584420,"2015-09-26 09:07:00"
32794874,2,53429105,Comment,5378691,"2015-09-26 09:10:49"
32794874,2,53429115,Comment,584420,"2015-09-26 09:11:31"
