PostId,PostTypeId,EventId,Event,UserId,CreationDate
33450324,1,103083664,InitialTitle,2176403,"2015-10-31 10:03:14"
33450324,1,103083663,InitialBody,2176403,"2015-10-31 10:03:14"
33453192,2,103095015,InitialBody,4653172,"2015-10-31 15:20:15"
33453192,2,54720125,Comment,2176403,"2015-11-01 21:11:40"
33453192,2,103153061,BodyEdit,4653172,"2015-11-01 21:41:12"
33453192,2,54720742,Comment,4653172,"2015-11-01 21:42:26"
33453192,2,54720875,Comment,2176403,"2015-11-01 21:49:05"
33453192,2,54720906,Comment,4653172,"2015-11-01 21:50:48"
33453192,2,54720920,Comment,4653172,"2015-11-01 21:51:24"
33453192,2,103153438,BodyEdit,4653172,"2015-11-01 21:52:27"
33450324,1,103153470,BodyEdit,2176403,"2015-11-01 21:53:42"
33450324,1,103153661,BodyEdit,2176403,"2015-11-01 21:59:06"
33453192,2,54721120,Comment,2176403,"2015-11-01 22:02:53"
33501065,2,103284084,InitialBody,709234,"2015-11-03 14:02:53"
