PostId,PostTypeId,EventId,Event,UserId,CreationDate
30239694,1,90471042,InitialBody,4401721,"2015-05-14 14:17:21"
30239694,1,90471043,InitialTitle,4401721,"2015-05-14 14:17:21"
30239694,1,90471416,BodyEdit,3111149,"2015-05-14 14:21:38"
30239694,1,48581120,Comment,3111149,"2015-05-14 14:25:41"
30239694,1,48581129,Comment,1316573,"2015-05-14 14:25:54"
30243947,2,90487104,InitialBody,4047422,"2015-05-14 17:47:12"
30243947,2,48589095,Comment,4039065,"2015-05-14 17:55:38"
30243947,2,90488182,BodyEdit,4047422,"2015-05-14 18:03:21"
30243947,2,48589411,Comment,4047422,"2015-05-14 18:04:09"
30244423,2,90488909,InitialBody,1171433,"2015-05-14 18:13:18"
30243947,2,90488968,BodyEdit,4047422,"2015-05-14 18:14:15"
30244423,2,90558111,BodyEdit,1171433,"2015-05-15 14:47:08"
