PostId,PostTypeId,EventId,Event,UserId,CreationDate
49676981,1,170611786,InitialBody,9502376,"2018-04-05 16:13:44"
49676981,1,170611787,InitialTitle,9502376,"2018-04-05 16:13:44"
49677071,2,170612138,InitialBody,5122821,"2018-04-05 16:18:28"
49676981,1,86365326,Comment,519413,"2018-04-05 16:18:34"
49676981,1,170612212,BodyEdit,519413,"2018-04-05 16:19:18"
49676981,1,86365398,Comment,519413,"2018-04-05 16:20:26"
49677235,2,170612870,InitialBody,2773184,"2018-04-05 16:27:59"
49677235,2,86374030,Comment,9502376,"2018-04-05 20:38:04"
49677235,2,86374502,Comment,2773184,"2018-04-05 20:54:27"
49677235,2,86381236,Comment,2773184,"2018-04-06 03:46:01"
49677235,2,86424526,Comment,2773184,"2018-04-07 08:53:42"
