PostId,PostTypeId,EventId,Event,UserId,CreationDate
11719084,1,27354231,InitialBody,1562529,"2012-07-30 09:54:43"
11719084,1,27354232,InitialTitle,1562529,"2012-07-30 09:54:43"
11719084,1,15547519,Comment,440558,"2012-07-30 09:59:47"
11719084,1,15547524,Comment,968261,"2012-07-30 09:59:58"
11719181,2,27354468,InitialBody,131057,"2012-07-30 10:00:31"
11719181,2,15547587,Comment,1160368,"2012-07-30 10:02:32"
11719181,2,15551216,Comment,1562529,"2012-07-30 12:43:26"
11719181,2,15551253,Comment,1562529,"2012-07-30 12:44:41"
11719181,2,15551688,Comment,131057,"2012-07-30 13:00:42"
11719181,2,52522035,Comment,836450,"2015-09-01 04:47:13"
32323838,2,98646911,InitialBody,836450,"2015-09-01 04:58:44"
32323838,2,98648600,BodyEdit,836450,"2015-09-01 05:43:37"
11719181,2,52523866,Comment,131057,"2015-09-01 06:12:54"
