PostId,PostTypeId,EventId,Event,UserId,CreationDate
29248101,1,86603299,InitialBody,4710462,"2015-03-25 05:28:01"
29248101,1,86603300,InitialTitle,4710462,"2015-03-25 05:28:01"
29248101,1,46700984,Comment,3682162,"2015-03-25 05:31:31"
29248145,2,86603466,InitialBody,1708868,"2015-03-25 05:31:53"
29248160,2,86603523,InitialBody,218196,"2015-03-25 05:33:05"
29248145,2,46701036,Comment,1708868,"2015-03-25 05:34:13"
29248145,2,46701057,Comment,4710462,"2015-03-25 05:35:31"
29248145,2,46701097,Comment,4710462,"2015-03-25 05:38:01"
29248145,2,46701125,Comment,218196,"2015-03-25 05:39:33"
29248145,2,86603840,BodyEdit,1708868,"2015-03-25 05:39:48"
29248145,2,46701175,Comment,218196,"2015-03-25 05:42:23"
29248101,1,86603996,TitleEdit,218196,"2015-03-25 05:43:26"
29248101,1,46701206,Comment,1298773,"2015-03-25 05:44:06"
29248145,2,46701208,Comment,1708868,"2015-03-25 05:44:09"
29248160,2,86604045,BodyEdit,218196,"2015-03-25 05:44:13"
29248145,2,46701226,Comment,1708868,"2015-03-25 05:45:01"
29248145,2,46701233,Comment,218196,"2015-03-25 05:45:22"
29248145,2,46701252,Comment,218196,"2015-03-25 05:46:13"
29248145,2,46701402,Comment,218196,"2015-03-25 05:53:38"
29248437,2,86604551,InitialBody,4703019,"2015-03-25 05:56:08"
29248145,2,46701521,Comment,4710462,"2015-03-25 05:59:52"
29248437,2,46701537,Comment,218196,"2015-03-25 06:00:38"
29248145,2,46701617,Comment,218196,"2015-03-25 06:04:11"
29248145,2,46701666,Comment,4710462,"2015-03-25 06:06:34"
29248437,2,46702091,Comment,218196,"2015-03-25 06:25:31"
29248160,2,86606031,BodyEdit,218196,"2015-03-25 06:26:13"
29248145,2,48112601,Comment,1708868,"2015-05-01 23:22:20"
