PostId,PostTypeId,EventId,Event,UserId,CreationDate
34059371,1,105517375,InitialBody,2006939,"2015-12-03 06:38:47"
34059371,1,105517376,InitialTitle,2006939,"2015-12-03 06:38:47"
34059371,1,55872734,Comment,4960953,"2015-12-03 06:52:03"
34059371,1,55872851,Comment,2605073,"2015-12-03 06:56:30"
34059371,1,55872907,Comment,2006939,"2015-12-03 06:58:19"
34059371,1,105518789,BodyEdit,2006939,"2015-12-03 07:03:50"
34059371,1,55874997,Comment,4960953,"2015-12-03 08:11:29"
34059371,1,55875381,Comment,2006939,"2015-12-03 08:25:03"
34059371,1,55875650,Comment,2732801,"2015-12-03 08:33:17"
34059371,1,55876422,Comment,2006939,"2015-12-03 08:54:39"
34061556,2,105525552,InitialBody,2006939,"2015-12-03 08:55:58"
