PostId,PostTypeId,EventId,Event,UserId,CreationDate
34631170,1,107811903,InitialBody,2235817,"2016-01-06 10:45:31"
34631170,1,107811904,InitialTitle,2235817,"2016-01-06 10:45:31"
34631170,1,57007914,Comment,2272172,"2016-01-06 10:56:44"
34631170,1,57008008,Comment,2235817,"2016-01-06 10:59:27"
34631459,2,107813044,InitialBody,2235817,"2016-01-06 10:59:52"
34631170,1,107817971,TitleEdit,4720935,"2016-01-06 12:06:37"
34631170,1,107817881,BodyEdit,4720935,"2016-01-06 12:06:37"
34631459,2,63958213,Comment,2375119,"2016-07-08 14:42:07"
