PostId,PostTypeId,EventId,Event,UserId,CreationDate
26215789,1,74941738,InitialTitle,4070833,"2014-10-06 12:00:18"
26215789,1,74941737,InitialBody,4070833,"2014-10-06 12:00:18"
26215789,1,74941918,BodyEdit,523908,"2014-10-06 12:03:12"
26215789,1,41113334,Comment,3004076,"2014-10-06 12:03:52"
26215848,2,74941954,InitialBody,29812,"2014-10-06 12:04:01"
26215852,2,74941963,InitialBody,2796295,"2014-10-06 12:04:11"
26215869,2,74942014,InitialBody,2497001,"2014-10-06 12:05:05"
26215873,2,74942032,InitialBody,1997093,"2014-10-06 12:05:15"
26215889,2,74942070,InitialBody,3932317,"2014-10-06 12:06:18"
26215789,1,41113403,Comment,3636601,"2014-10-06 12:06:21"
26215905,2,74942128,InitialBody,1869846,"2014-10-06 12:07:02"
26215852,2,41113424,Comment,4070833,"2014-10-06 12:07:03"
26215848,2,41113466,Comment,4070833,"2014-10-06 12:08:42"
26215905,2,41113647,Comment,4070833,"2014-10-06 12:14:05"
26215789,1,74942537,BodyEdit,1869846,"2014-10-06 12:14:27"
26215789,1,74942535,BodyEdit,3017818,"2014-10-06 12:14:27"
26215905,2,41113667,Comment,4070833,"2014-10-06 12:14:46"
26215873,2,74942800,BodyEdit,1997093,"2014-10-06 12:19:18"
26215789,1,41113815,Comment,4070833,"2014-10-06 12:19:27"
