PostId,PostTypeId,EventId,Event,UserId,CreationDate,Rationale (CT),Rationale (SB)
11252831,1,26121512,InitialBody,1018943,6/28/2012 21:01,N/A,N/A
11252831,1,26121513,InitialTitle,1018943,6/28/2012 21:01,N/A,N/A
11252831,1,14789499,Comment,NULL,6/28/2012 21:04,clarification question,
11252943,2,26121804,InitialBody,1033896,6/28/2012 21:10,N/A,N/A
11252831,1,14789808,Comment,1018943,6/28/2012 21:19,explanation in response to previous comment,
11252943,2,14789821,Comment,1018943,6/28/2012 21:20,clarification question on answer,
11252943,2,26122227,BodyEdit,1033896,6/28/2012 21:22,add link to answer,
11252943,2,14789879,Comment,1033896,6/28/2012 21:22,comment to indicate edit,
11253143,2,26122320,InitialBody,273767,6/28/2012 21:25,N/A,N/A
11252943,2,14789968,Comment,1018943,6/28/2012 21:27,thank you note,
11253143,2,14789985,Comment,1018943,6/28/2012 21:28,"thank you note, referring to other answer and its edit",
11253143,2,14790227,Comment,273767,6/28/2012 21:40,indicating that they are updating documentation elsewhere,
11252943,2,14792106,Comment,962089,6/28/2012 23:44,information about different PL version,
11252831,1,151246596,TitleEdit,1033581,7/10/2017 14:55,fix spelling,
11252831,1,151246595,BodyEdit,1033581,7/10/2017 14:55,remove thank you note,
,,,,,,,
,,,,,,edit to the question 5+ years later,
,,,,,,at least 2 comments on question and two answers all within minutes,
