PostId,PostTypeId,EventId,Event,UserId,CreationDate
37008733,1,117217378,InitialBody,2371515,"2016-05-03 15:49:42"
37008733,1,117217379,InitialTitle,2371515,"2016-05-03 15:49:42"
37008733,1,61570660,Comment,757508,"2016-05-03 16:13:18"
37008733,1,61572611,Comment,2371515,"2016-05-03 17:07:00"
37008733,1,61573944,Comment,757508,"2016-05-03 17:46:22"
37055029,2,117394536,InitialBody,6278017,"2016-05-05 15:57:24"
40241698,2,130089384,InitialBody,2803832,"2016-10-25 13:44:13"
40241698,2,67891929,Comment,4646662,"2016-10-29 09:48:46"
40241698,2,130398576,BodyEdit,2803832,"2016-10-29 10:10:33"
41669012,2,136063443,InitialBody,4742733,"2017-01-16 03:25:17"
42273708,2,138533926,InitialBody,4397154,"2017-02-16 12:15:59"
40241698,2,72348587,Comment,2622795,"2017-03-05 14:34:30"
