PostId,PostTypeId,EventId,Event,UserId,CreationDate
39196951,1,125908303,InitialBody,2615065,"2016-08-29 00:11:28"
39196951,1,125908304,InitialTitle,2615065,"2016-08-29 00:11:28"
39196951,1,125914167,TitleEdit,13302,"2016-08-29 04:20:25"
39196951,1,125914166,BodyEdit,13302,"2016-08-29 04:20:25"
39196951,1,65737349,Comment,2936216,"2016-08-29 04:43:03"
39200105,2,125920713,InitialBody,2245866,"2016-08-29 06:50:14"
39196951,1,65755818,Comment,2615065,"2016-08-29 14:15:42"
39200105,2,65763990,Comment,1617188,"2016-08-29 18:15:40"
