PostId,PostTypeId,EventId,Event,UserId,CreationDate
7953840,1,17689751,InitialTitle,1018387,"2011-10-31 12:41:46"
7953840,1,17689750,InitialBody,1018387,"2011-10-31 12:41:46"
7953840,1,17691392,TitleEdit,1018387,"2011-10-31 13:43:54"
7953840,1,17691597,TitleEdit,648313,"2011-10-31 13:52:12"
7953840,1,17691596,BodyEdit,648313,"2011-10-31 13:52:12"
7957863,2,17699347,InitialBody,797390,"2011-10-31 18:15:34"
7957863,2,9736956,Comment,1018387,"2011-11-01 08:46:15"
7953840,1,17714971,BodyEdit,1018387,"2011-11-01 09:06:51"
7957863,2,9739994,Comment,797390,"2011-11-01 12:35:34"
7953840,1,17720649,BodyEdit,1018387,"2011-11-01 12:48:36"
7953840,1,17720650,TitleEdit,1018387,"2011-11-01 12:48:36"
7957863,2,9740474,Comment,1018387,"2011-11-01 13:06:13"
7957863,2,9778635,Comment,1018387,"2011-11-03 11:20:29"
7957863,2,9788068,Comment,797390,"2011-11-03 19:13:24"
7957863,2,9879225,Comment,1018387,"2011-11-09 11:27:52"
7953840,1,146307259,BodyEdit,-1,"2017-05-23 10:34:45"
