PostId,PostTypeId,EventId,Event,UserId,CreationDate
24987992,1,70246385,InitialTitle,2992738,"2014-07-28 03:18:19"
24987992,1,70246384,InitialBody,2992738,"2014-07-28 03:18:19"
24987992,1,38847990,Comment,3744059,"2014-07-28 03:22:41"
24987992,1,70246819,BodyEdit,2992738,"2014-07-28 03:36:50"
24987992,1,38848182,Comment,2992738,"2014-07-28 03:39:44"
24987992,1,70248430,BodyEdit,2992738,"2014-07-28 04:36:04"
25012424,2,70338537,InitialBody,1292848,"2014-07-29 09:46:18"
25012424,2,38924188,Comment,2992738,"2014-07-30 03:46:24"
