PostId,PostTypeId,EventId,Event,UserId,CreationDate,Rationale (CT),Rationale (SB)
50332,1,70423,InitialBody,4398,2008-09-08 18:17:54,N/A,N/A
50332,1,70421,InitialTitle,4398,2008-09-08 18:17:54,N/A,N/A
52030,2,72892,InitialBody,5410,2008-09-09 14:36:12,N/A,N/A
52030,2,851869,Comment,5410,2009-06-24 21:15:35,,Indicate that post not answers the question
52030,2,2165421,BodyEdit,1440933,2009-07-10 15:37:44,,"Formatting, unrelated to comment"
1315206,2,2587596,InitialBody,159770,2009-08-22 05:22:12,N/A,N/A
10566072,2,24341291,InitialBody,41693,2012-05-12 17:48:17,N/A,N/A
