PostId,PostTypeId,EventId,Event,UserId,CreationDate
30389438,1,91058794,InitialTitle,4702701,"2015-05-22 06:04:55"
30389438,1,91058793,InitialBody,4702701,"2015-05-22 06:04:55"
30389438,1,91058836,BodyEdit,3636601,"2015-05-22 06:05:29"
30389438,1,48867443,Comment,3636601,"2015-05-22 06:05:45"
30389438,1,48867515,Comment,3706016,"2015-05-22 06:08:46"
30389438,1,48867566,Comment,3706016,"2015-05-22 06:10:36"
30389438,1,91059238,BodyEdit,4513879,"2015-05-22 06:12:53"
30389560,2,91059267,InitialBody,3706016,"2015-05-22 06:13:12"
30389803,2,91060238,InitialBody,2717587,"2015-05-22 06:30:42"
30389803,2,91060576,BodyEdit,2717587,"2015-05-22 06:37:19"
30389438,1,48868463,Comment,4702701,"2015-05-22 06:42:51"
30389438,1,91060977,BodyEdit,2706726,"2015-05-22 06:45:11"
30389803,2,48868637,Comment,4702701,"2015-05-22 06:48:41"
30389803,2,48868694,Comment,2717587,"2015-05-22 06:50:38"
30389803,2,48868831,Comment,4702701,"2015-05-22 06:55:34"
30390255,2,91061837,InitialBody,4574888,"2015-05-22 06:58:52"
30389803,2,48869067,Comment,2717587,"2015-05-22 07:03:22"
30390255,2,91062175,BodyEdit,4574888,"2015-05-22 07:04:12"
30390255,2,48869306,Comment,4702701,"2015-05-22 07:10:43"
30389803,2,48870118,Comment,4702701,"2015-05-22 07:35:17"
30389803,2,48870347,Comment,4702701,"2015-05-22 07:42:28"
30389803,2,48870447,Comment,4702701,"2015-05-22 07:44:48"
30389803,2,91065531,BodyEdit,2717587,"2015-05-22 07:52:53"
30389438,1,48870744,Comment,3706016,"2015-05-22 07:53:08"
30389803,2,48870774,Comment,2717587,"2015-05-22 07:53:51"
30390255,2,91067698,BodyEdit,4574888,"2015-05-22 08:24:14"
30390255,2,48871714,Comment,4574888,"2015-05-22 08:24:32"
30389560,2,106147379,BodyEdit,3706016,"2015-12-11 07:50:53"
