PostId,PostTypeId,EventId,Event,UserId,CreationDate
18996869,1,47971532,InitialBody,2813545,"2013-09-25 05:25:04"
18996869,1,47971533,InitialTitle,2813545,"2013-09-25 05:25:04"
18996869,1,47971731,TitleEdit,107625,"2013-09-25 05:30:02"
18996869,1,28064280,Comment,1342984,"2013-09-25 05:32:08"
18996981,2,47971871,InitialBody,249933,"2013-09-25 05:33:32"
18996869,1,28064323,Comment,2813545,"2013-09-25 05:35:09"
18996981,2,28064384,Comment,2813545,"2013-09-25 05:38:43"
18996869,1,48016978,BodyEdit,2813545,"2013-09-25 16:10:55"
