PostId,PostTypeId,EventId,Event,UserId,CreationDate
11767607,1,27482295,InitialTitle,245836,"2012-08-01 21:07:38"
11767607,1,27482294,InitialBody,245836,"2012-08-01 21:07:38"
11767607,1,27482345,BodyEdit,NULL,"2012-08-01 21:09:30"
11767607,1,15626481,Comment,NULL,"2012-08-01 21:10:38"
11767607,1,27482400,BodyEdit,245836,"2012-08-01 21:11:32"
11767607,1,15626537,Comment,NULL,"2012-08-01 21:13:05"
11767676,2,27482452,InitialBody,1322438,"2012-08-01 21:13:06"
11767607,1,15626549,Comment,245836,"2012-08-01 21:13:57"
11767607,1,15626575,Comment,NULL,"2012-08-01 21:15:00"
11767607,1,15626618,Comment,177883,"2012-08-01 21:16:42"
11767676,2,15626822,Comment,245836,"2012-08-01 21:26:23"
11767676,2,15626832,Comment,1322438,"2012-08-01 21:26:48"
