PostId,PostTypeId,EventId,Event,UserId,CreationDate
376732,1,609759,InitialBody,11339,"2008-12-18 02:31:25"
376732,1,609757,InitialTitle,11339,"2008-12-18 02:31:25"
376743,2,609647,InitialBody,35951,"2008-12-18 02:37:09"
376732,1,204686,Comment,39413,"2008-12-18 02:51:39"
376732,1,609760,BodyEdit,11339,"2008-12-18 03:05:31"
460599,2,758130,InitialBody,54949,"2009-01-20 09:38:43"
460599,2,282715,Comment,11339,"2009-01-21 05:29:46"
671910,2,1160398,InitialBody,81202,"2009-03-23 00:35:52"
672049,2,1160645,InitialBody,27536,"2009-03-23 02:20:24"
376732,1,629887,Comment,2859,"2009-05-04 16:51:58"
376743,2,2649739,BodyEdit,35951,"2009-08-28 04:40:50"
376732,1,1663758,Comment,11339,"2009-11-22 05:36:46"
1856685,2,3721224,InitialBody,220432,"2009-12-06 21:31:18"
672049,2,2049708,Comment,82320,"2010-01-21 23:29:28"
4025207,2,8462913,InitialBody,377303,"2010-10-26 15:24:11"
4470469,2,9435068,InitialBody,546057,"2010-12-17 12:32:24"
4470469,2,9460754,BodyEdit,11339,"2010-12-19 08:57:48"
672049,2,6671692,Comment,211827,"2011-04-28 06:38:53"
672049,2,6701579,Comment,27536,"2011-04-29 19:41:59"
671910,2,6876052,Comment,58791,"2011-05-11 08:40:52"
460599,2,8400086,Comment,319241,"2011-08-11 18:30:11"
460599,2,15439880,BodyEdit,54949,"2011-08-12 09:51:42"
460599,2,8410575,Comment,54949,"2011-08-12 09:52:33"
460599,2,16340482,BodyEdit,248188,"2011-09-13 16:24:00"
376732,1,8960605,Comment,1,"2011-09-14 10:26:43"
10191147,2,23371494,InitialBody,343854,"2012-04-17 12:20:50"
460599,2,13107125,Comment,200443,"2012-04-18 09:38:35"
4470469,2,13113013,Comment,200443,"2012-04-18 13:30:14"
460599,2,14101192,Comment,359650,"2012-05-31 10:00:31"
4470469,2,15456855,Comment,5982,"2012-07-26 05:32:39"
4470469,2,15457524,Comment,1525358,"2012-07-26 06:15:16"
10191147,2,17084974,Comment,864150,"2012-09-30 16:38:04"
1856685,2,57586950,BodyEdit,660828,"2014-02-09 05:12:10"
4470469,2,39937271,Comment,11339,"2014-08-29 16:03:28"
