PostId,PostTypeId,EventId,Event,UserId,CreationDate
16245209,1,39767980,InitialBody,1907509,"2013-04-26 21:04:49"
16245209,1,39767981,InitialTitle,1907509,"2013-04-26 21:04:49"
16245209,1,23241882,Comment,1907509,"2013-04-26 21:06:33"
16245209,1,23241962,Comment,2302167,"2013-04-26 21:09:59"
16245275,2,39768171,InitialBody,2221176,"2013-04-26 21:10:35"
16245209,1,23241990,Comment,2219831,"2013-04-26 21:10:38"
16245275,2,23242030,Comment,1907509,"2013-04-26 21:12:25"
16245209,1,23242319,Comment,2323527,"2013-04-26 21:12:57"
16245275,2,23242123,Comment,1907509,"2013-04-26 21:16:01"
16245209,1,23242148,Comment,1907509,"2013-04-26 21:16:55"
16245209,1,39768477,BodyEdit,2219831,"2013-04-26 21:20:21"
16245275,2,23242640,Comment,1907509,"2013-04-26 21:37:56"
16245275,2,23250148,Comment,2221176,"2013-04-27 09:01:43"
