PostId,PostTypeId,EventId,Event,UserId,CreationDate
30815560,1,92730260,InitialBody,4980528,"2015-06-13 05:50:42"
30815560,1,92730261,InitialTitle,4980528,"2015-06-13 05:50:42"
30815560,1,49678509,Comment,NULL,"2015-06-13 05:53:12"
30815560,1,49678544,Comment,4980528,"2015-06-13 05:56:25"
30815560,1,49678554,Comment,NULL,"2015-06-13 05:56:55"
30815560,1,49678588,Comment,4980528,"2015-06-13 06:01:00"
30815661,2,92730688,InitialBody,3081756,"2015-06-13 06:08:26"
30815661,2,49678773,Comment,4980528,"2015-06-13 06:18:56"
30815661,2,92740425,BodyEdit,3081756,"2015-06-13 06:48:07"
30815661,2,49679047,Comment,3081756,"2015-06-13 06:48:22"
30815560,1,92744260,BodyEdit,1862812,"2015-06-13 08:56:21"
