PostId,PostTypeId,EventId,Event,UserId,CreationDate
28689154,1,84449404,InitialBody,4599839,"2015-02-24 06:03:12"
28689154,1,84449405,InitialTitle,4599839,"2015-02-24 06:03:12"
28689154,1,84449504,TitleEdit,1391249,"2015-02-24 06:06:54"
28689154,1,84449503,BodyEdit,1391249,"2015-02-24 06:06:54"
28701887,2,84496355,InitialBody,4107262,"2015-02-24 17:05:19"
28701887,2,45754554,Comment,4599839,"2015-02-26 04:55:51"
28701887,2,45754576,Comment,4599839,"2015-02-26 04:57:22"
28701887,2,45762510,Comment,4107262,"2015-02-26 10:05:31"
