PostId,PostTypeId,EventId,Event,UserId,CreationDate
27970737,1,81682302,InitialTitle,4031604,"2015-01-15 18:46:50"
27970737,1,81682301,InitialBody,4031604,"2015-01-15 18:46:50"
27970737,1,44334202,Comment,865874,"2015-01-15 18:49:37"
27970737,1,44334290,Comment,4031604,"2015-01-15 18:52:16"
27970833,2,81682684,InitialBody,865874,"2015-01-15 18:52:51"
27970737,1,81682823,BodyEdit,825844,"2015-01-15 18:55:00"
27970737,1,81683132,BodyEdit,4031604,"2015-01-15 18:59:26"
27970833,2,44334602,Comment,4031604,"2015-01-15 19:01:11"
27970833,2,44334699,Comment,560648,"2015-01-15 19:04:20"
27971064,2,81683489,InitialBody,3647361,"2015-01-15 19:06:42"
27971064,2,44334791,Comment,560648,"2015-01-15 19:07:34"
27970737,1,44334818,Comment,560648,"2015-01-15 19:08:24"
27970833,2,44334848,Comment,420683,"2015-01-15 19:09:37"
27971064,2,81684095,BodyEdit,3647361,"2015-01-15 19:15:24"
27971064,2,44335269,Comment,420683,"2015-01-15 19:21:47"
27971064,2,81684582,BodyEdit,3647361,"2015-01-15 19:23:11"
27970833,2,44335402,Comment,420683,"2015-01-15 19:25:40"
27971064,2,44335566,Comment,3647361,"2015-01-15 19:30:01"
27971064,2,44335574,Comment,420683,"2015-01-15 19:30:17"
27971064,2,81685134,BodyEdit,3647361,"2015-01-15 19:31:07"
27971064,2,44335642,Comment,420683,"2015-01-15 19:32:26"
27971064,2,44335666,Comment,3647361,"2015-01-15 19:33:21"
27971064,2,44335716,Comment,3647361,"2015-01-15 19:34:46"
27971064,2,44335786,Comment,3647361,"2015-01-15 19:36:50"
27971064,2,44335802,Comment,420683,"2015-01-15 19:37:00"
27970833,2,44343185,Comment,420683,"2015-01-16 00:09:30"
27970737,1,82079872,BodyEdit,16287,"2015-01-21 18:14:32"
27970737,1,59810534,Comment,1505939,"2016-03-18 11:28:39"
27971064,2,113547473,BodyEdit,3647361,"2016-03-18 11:38:04"
27971064,2,59810918,Comment,3647361,"2016-03-18 11:38:43"
