PostId,PostTypeId,EventId,Event,UserId,CreationDate
48114152,1,164061244,InitialBody,9177460,"2018-01-05 12:58:34"
48114152,1,164061245,InitialTitle,9177460,"2018-01-05 12:58:34"
48114216,2,164061513,InitialBody,3773912,"2018-01-05 13:02:41"
48114152,1,83204124,Comment,35777,"2018-01-05 13:02:55"
48114216,2,83204167,Comment,35777,"2018-01-05 13:03:58"
48114216,2,164061696,BodyEdit,3457761,"2018-01-05 13:05:39"
48114216,2,83204401,Comment,9177460,"2018-01-05 13:11:40"
48114152,1,164066898,BodyEdit,1464444,"2018-01-05 14:23:16"
48115597,2,164067297,InitialBody,1464444,"2018-01-05 14:27:50"
48114152,1,83222916,Comment,9177460,"2018-01-06 00:16:59"
48115597,2,83223382,Comment,9177460,"2018-01-06 00:49:37"
48114216,2,83269485,Comment,35777,"2018-01-08 07:13:37"
48114152,1,83269556,Comment,35777,"2018-01-08 07:17:00"
48115597,2,84166001,Comment,1464444,"2018-02-02 14:24:08"
